source_node,target_node,source_longitude,source_latitude,source_magnitude,target_longitude,target_latitude,target_magnitude,distance_km,time_gap_days
7,56,-168.139,52.392,4.5,-168.274,52.065,3.5,37.505245,6.906311e-07
11,58,-168.294,52.251,4.7,-168.17,52.233,2.7,8.676878,6.900066e-07
2,53,-168.196,52.208,3.4,-168.293,52.26,5.2,8.778858,6.899249e-07
14,63,-168.11,52.131,3.3,-168.0427,52.2838,2.7,17.598583,6.8940767e-07
5,55,-168.0153,52.2873,2.8,-168.203,52.302,3.5,12.869123,6.8838443e-07
0,52,-168.07,52.362,4.7,-167.989,52.255,2.6,13.110462,6.8770834e-07
10,57,-168.2331,52.1187,2.9,-168.103,52.1712,2.8,10.6249895,6.8751484e-07
6,55,-167.97,52.277,3.5,-168.203,52.302,3.5,16.089415,6.873415e-07
5,54,-168.0153,52.2873,2.8,-168.108,52.275,2.9,6.452773,6.8723745e-07
7,55,-168.139,52.392,4.5,-168.203,52.302,3.5,10.910998,6.8721977e-07
8,56,-167.9895,52.28,3.0,-168.274,52.065,3.5,30.788748,6.8682266e-07
15,63,-168.066,52.1314,2.8,-168.0427,52.2838,2.7,17.020319,6.8678764e-07
1,52,-168.0493,52.2483,3.1,-167.989,52.255,2.6,4.1718574,6.8626247e-07
6,54,-167.97,52.277,3.5,-168.108,52.275,2.9,9.391538,6.8619454e-07
3,53,-168.1284,52.145,3.0,-168.293,52.26,5.2,17.010103,6.8607284e-07
7,54,-168.139,52.392,4.5,-168.108,52.275,2.9,13.179219,6.860728e-07
11,57,-168.294,52.251,4.7,-168.103,52.1712,2.8,15.751045,6.857742e-07
4,53,-168.1641,52.2193,3.1,-168.293,52.26,5.2,9.875049,6.8569824e-07
13,61,-168.0588,52.1124,2.9,-168.475,52.392,4.8,42.0626,6.855412e-07
9,56,-168.019,52.351,3.5,-168.274,52.065,3.5,36.238945,6.8553436e-07
2,52,-168.196,52.208,3.4,-167.989,52.255,2.6,15.035024,6.850137e-07
12,60,-168.327,52.299,4.8,-168.167,52.185,3.0,16.714256,6.840764e-07
8,55,-167.9895,52.28,3.0,-168.203,52.302,3.5,14.725288,6.834113e-07
0,51,-168.07,52.362,4.7,-168.336,52.24,5.4,22.609241,6.829501e-07
8,54,-167.9895,52.28,3.0,-168.108,52.275,2.9,8.081087,6.8226433e-07
9,55,-168.019,52.351,3.5,-168.203,52.302,3.5,13.639773,6.82123e-07
0,50,-168.07,52.362,4.7,-168.1298,52.2732,2.5,10.678008,6.816885e-07
1,51,-168.0493,52.2483,3.1,-168.336,52.24,5.4,19.5416,6.815043e-07
12,59,-168.327,52.299,4.8,-168.084,52.257,2.8,17.178877,6.814714e-07
3,52,-168.1284,52.145,3.0,-167.989,52.255,2.6,15.4876,6.811616e-07
9,54,-168.019,52.351,3.5,-168.108,52.275,2.9,10.393269,6.8097603e-07
4,52,-168.1641,52.2193,3.1,-167.989,52.255,2.6,12.566905,6.80787e-07
12,58,-168.327,52.299,4.8,-168.17,52.233,2.7,12.961732,6.806397e-07
10,56,-168.2331,52.1187,2.9,-168.274,52.065,3.5,6.592602,6.806071e-07
0,49,-168.07,52.362,4.7,-168.268,52.256,2.5,17.892,6.8032637e-07
2,51,-168.196,52.208,3.4,-168.336,52.24,5.4,10.178367,6.802554e-07
1,50,-168.0493,52.2483,3.1,-168.1298,52.2732,2.5,6.1386194,6.8024264e-07
5,53,-168.0153,52.2873,2.8,-168.293,52.26,5.2,19.136763,6.7998684e-07
14,62,-168.11,52.131,3.3,-168.185,52.166,2.9,6.4291034,6.792954e-07
2,50,-168.196,52.208,3.4,-168.1298,52.2732,2.5,8.53693,6.7899384e-07
6,53,-167.97,52.277,3.5,-168.293,52.26,5.2,22.060322,6.78944e-07
1,49,-168.0493,52.2483,3.1,-168.268,52.256,2.5,14.911976,6.7888055e-07
11,56,-168.294,52.251,4.7,-168.274,52.065,3.5,20.727207,6.7886646e-07
7,53,-168.139,52.392,4.5,-168.293,52.26,5.2,18.026794,6.7882223e-07
2,49,-168.196,52.208,3.4,-168.268,52.256,2.5,7.247821,6.776317e-07
0,48,-168.07,52.362,4.7,-168.298,52.192,2.6,24.45285,6.774047e-07
13,60,-168.0588,52.1124,2.9,-168.167,52.185,3.0,10.939453,6.77326e-07
10,55,-168.2331,52.1187,2.9,-168.203,52.302,3.5,20.484953,6.7719577e-07
15,62,-168.066,52.1314,2.8,-168.185,52.166,2.9,8.984861,6.7667537e-07
0,47,-168.07,52.362,4.7,-168.154,52.086,2.8,31.218603,6.765603e-07
12,57,-168.327,52.299,4.8,-168.103,52.1712,2.8,20.847752,6.7640724e-07
3,51,-168.1284,52.145,3.0,-168.336,52.24,5.4,17.658764,6.7640343e-07
10,54,-168.2331,52.1187,2.9,-168.108,52.275,2.9,19.35862,6.760488e-07
4,51,-168.1641,52.2193,3.1,-168.336,52.24,5.4,11.931654,6.760288e-07
1,48,-168.0493,52.2483,3.1,-168.298,52.192,2.6,18.061386,6.759589e-07
11,55,-168.294,52.251,4.7,-168.203,52.302,3.5,8.395837,6.754551e-07
3,50,-168.1284,52.145,3.0,-168.1298,52.2732,2.5,14.255508,6.751418e-07
1,47,-168.0493,52.2483,3.1,-168.154,52.086,2.8,19.408318,6.7511445e-07
5,52,-168.0153,52.2873,2.8,-167.989,52.255,2.6,4.0127277,6.750756e-07
8,53,-167.9895,52.28,3.0,-168.293,52.26,5.2,20.770966,6.750138e-07
4,50,-168.1641,52.2193,3.1,-168.1298,52.2732,2.5,6.4322634,6.7476714e-07
13,59,-168.0588,52.1124,2.9,-168.084,52.257,2.8,16.170311,6.7472104e-07
2,48,-168.196,52.208,3.4,-168.298,52.192,2.6,7.1755753,6.7471007e-07
0,46,-168.07,52.362,4.7,-168.338,52.318,4.3,18.853077,6.74652e-07
11,54,-168.294,52.251,4.7,-168.108,52.275,2.9,12.936572,6.743081e-07
6,52,-167.97,52.277,3.5,-167.989,52.255,2.6,2.7669642,6.740328e-07
7,52,-168.139,52.392,4.5,-167.989,52.255,2.6,18.33006,6.73911e-07
13,58,-168.0588,52.1124,2.9,-168.17,52.233,2.7,15.405693,6.738893e-07
2,47,-168.196,52.208,3.4,-168.154,52.086,2.8,13.86518,6.738656e-07
3,49,-168.1284,52.145,3.0,-168.268,52.256,2.5,15.583819,6.7377965e-07
9,53,-168.019,52.351,3.5,-168.293,52.26,5.2,21.199999,6.737255e-07
16,63,-168.0864,52.2636,2.7,-168.0427,52.2838,2.7,3.726351,6.73484e-07
4,49,-168.1641,52.2193,3.1,-168.268,52.256,2.5,8.167563,6.7340505e-07
1,46,-168.0493,52.2483,3.1,-168.338,52.318,4.3,21.112661,6.732061e-07
2,46,-168.196,52.208,3.4,-168.338,52.318,4.3,15.588411,6.719573e-07
17,63,-168.0734,52.3923,2.5,-168.0427,52.2838,2.7,12.243618,6.713913e-07
3,48,-168.1284,52.145,3.0,-168.298,52.192,2.6,12.692653,6.70858e-07
4,48,-168.1641,52.2193,3.1,-168.298,52.192,2.6,9.616126,6.704834e-07
5,51,-168.0153,52.2873,2.8,-168.336,52.24,5.4,22.44985,6.703174e-07
8,52,-167.9895,52.28,3.0,-167.989,52.255,2.6,2.7800813,6.701025e-07
3,47,-168.1284,52.145,3.0,-168.154,52.086,2.8,6.789382,6.700136e-07
13,57,-168.0588,52.1124,2.9,-168.103,52.1712,2.8,7.2004676,6.6965686e-07
4,47,-168.1641,52.2193,3.1,-168.154,52.086,2.8,14.838292,6.6963895e-07
12,56,-168.327,52.299,4.8,-168.274,52.065,3.5,26.269331,6.694995e-07
6,51,-167.97,52.277,3.5,-168.336,52.24,5.4,25.248274,6.692745e-07
7,51,-168.139,52.392,4.5,-168.336,52.24,5.4,21.56341,6.6915277e-07
5,50,-168.0153,52.2873,2.8,-168.1298,52.2732,2.5,7.9455457,6.690558e-07
18,63,-167.9847,52.3177,2.7,-168.0427,52.2838,2.7,5.4555664,6.6893494e-07
9,52,-168.019,52.351,3.5,-167.989,52.255,2.6,10.86786,6.688142e-07
10,53,-168.2331,52.1187,2.9,-168.293,52.26,5.2,16.233768,6.6879824e-07
3,46,-168.1284,52.145,3.0,-168.338,52.318,4.3,23.954407,6.6810526e-07
6,50,-167.97,52.277,3.5,-168.1298,52.2732,2.5,10.880507,6.6801294e-07
7,50,-168.139,52.392,4.5,-168.1298,52.2732,2.5,13.22474,6.6789113e-07
4,46,-168.1641,52.2193,3.1,-168.338,52.318,4.3,16.139301,6.6773066e-07
5,49,-168.0153,52.2873,2.8,-168.268,52.256,2.5,17.54297,6.6769366e-07
0,45,-168.07,52.362,4.7,-168.381,52.385,4.5,21.2668,6.674059e-07
