trial_index,model,epoch,train_loss,val_threshold,val_precision,val_recall,val_f1,val_accuracy,val_balanced_accuracy,val_auc_roc,val_tpr_at_20_fpr,val_actual_fpr_at_selected_roc_point,val_roc_threshold_at_20_fpr
7,GAT,4,0.12136790426075458,0.1,0.15406562054208273,0.622478386167147,0.2469982847341338,0.3415,0.4524975112928899,0.3383909440699035,0.0,0.20084694494857835,0.9991266131401062
7,GAT,5,0.11325330722332001,0.05,0.15696969696969698,0.7463976945244957,0.25938908362543817,0.2605,0.45244869602207843,0.41947398058895624,0.17579250720461095,0.20084694494857835,0.9999977350234985
8,GAT,1,0.24833487531542778,0.75,0.2484375,0.45042492917847027,0.3202416918429003,0.6625,0.5791893923366547,0.5208302158100142,0.35127478753541075,0.1973284760170006,0.86245197057724
8,GAT,2,0.18795711839199067,0.8,0.218209179834462,0.8215297450424929,0.3448275862068966,0.449,0.5953428931648408,0.6028438692721422,0.35410764872521244,0.1955069823922283,0.9852383732795715
8,GAT,3,0.15734615801274776,0.85,0.26478616924476794,0.8243626062322946,0.40082644628099173,0.565,0.6668868283134758,0.6362344790339032,0.37110481586402266,0.19186399514268368,0.9999206066131592
8,GAT,4,0.13065280324965717,0.2,0.2771996215704825,0.830028328611898,0.4156028368794326,0.588,0.6830773094182745,0.650084882634922,0.3626062322946176,0.20036429872495445,0.995542585849762
8,GAT,5,0.12010467946529388,0.05,0.28056872037914693,0.8385269121813032,0.42045454545454547,0.592,0.688844512556954,0.6484921507212874,0.3597733711048159,0.20461445051608987,0.9113017320632935
8,GAT,6,0.11495978830754756,0.9,0.2912513842746401,0.7450424929178471,0.41878980891719747,0.635,0.6782285931498768,0.6419698619345673,0.3654390934844193,0.20765027322404372,0.9997960925102234
9,GAT,1,0.2524677222371101,0.55,0.26124567474048443,0.42776203966005666,0.32438238453276047,0.6855,0.5842513902003987,0.4967207954715501,0.35127478753541075,0.20036429872495445,0.6198042631149292
9,GAT,2,0.18541666379570962,0.75,0.39221556886227543,0.37110481586402266,0.3813682678311499,0.7875,0.6239252069605481,0.5265595786656484,0.40226628895184136,0.201578627808136,0.500346302986145
9,GAT,3,0.15436764131486416,0.9,0.32710280373831774,0.39660056657223797,0.3585147247119078,0.7495,0.610868589297048,0.4834044558653299,0.39943342776203966,0.19489981785063754,0.8658446073532104
9,GAT,4,0.13720155708491802,0.05,0.17353689567430025,0.9660056657223796,0.2942191544434858,0.182,0.48998522508948367,0.46880412665486737,0.2719546742209632,0.2100789313904068,0.9087416529655457
10,GAT,1,0.2649781393706799,0.5,0.19851451721809588,0.8328611898016998,0.32061068702290074,0.377,0.5560784394667273,0.5367171146440175,0.24929178470254956,0.1979356405585914,0.877035915851593
10,GAT,2,0.18637389627099038,0.75,0.18695398951659872,0.9093484419263456,0.3101449275362319,0.286,0.5308733709328146,0.43010727720243347,0.12464589235127478,0.1785063752276867,0.9992061257362366
10,GAT,3,0.1550184291154146,0.05,0.1643835616438356,0.7818696883852692,0.27165354330708663,0.26,0.46500891826670865,0.45451855979882727,0.18696883852691218,0.20097146326654525,0.9854966998100281
11,GAT,1,0.27087956792116163,0.5,0.2271214642262895,0.7777777777777778,0.35157759175788794,0.4965,0.6072030186645105,0.6286482872292454,0.3789173789173789,0.1952698605215282,0.9412953853607178
11,GAT,2,0.18240090599656106,0.2,0.23205902079141516,0.9857549857549858,0.3756786102062975,0.425,0.6456973837204281,0.6676791079459363,0.3732193732193732,0.19951485748938752,0.9768398404121399
11,GAT,3,0.1557100947648287,0.3,0.257761053621825,0.7806267806267806,0.38755304101838756,0.567,0.651077489767605,0.6416242944441851,0.358974358974359,0.20194057004244997,0.9819679856300354
11,GAT,4,0.1393775111734867,0.35,0.2411408815903198,0.7948717948717948,0.37002652519893897,0.525,0.6312139447372922,0.6462010127868223,0.3646723646723647,0.2025469981807156,0.9982361793518066
11,GAT,5,0.12609679108858107,0.75,0.24057649667405764,0.6182336182336182,0.3463687150837989,0.5905,0.6014151717608358,0.59797529021301,0.37037037037037035,0.20194057004244997,0.9993392825126648
12,GAT,1,0.27666868150234225,0.1,0.18338727076591155,0.9686609686609686,0.30839002267573695,0.2375,0.5252643836634133,0.3815141353043112,0.07692307692307693,0.20194057004244997,0.7203973531723022
12,GAT,2,0.20778191065788268,0.05,0.18230277185501065,0.9743589743589743,0.307139649753031,0.2285,0.5220491051297601,0.4432782364862413,0.15384615384615385,0.20012128562765313,0.689696192741394
12,GAT,3,0.1761199386715889,0.1,0.1799442896935933,0.9202279202279202,0.30102516309412863,0.25,0.5137828503504671,0.5331280807326896,0.27635327635327633,0.19830200121285627,0.7471837997436523
13,GAT,1,0.2697486942112446,0.05,0.1475602586713698,0.7150997150997151,0.24463937621832357,0.225,0.4178894573072863,0.3003918458739563,0.10256410256410256,0.16676773802304426,0.7501463890075684
13,GAT,2,0.19255899208784102,0.05,0.1490933512424446,0.6324786324786325,0.24130434782608695,0.302,0.4320670906480488,0.27661761682380237,0.05128205128205128,0.19951485748938752,0.9854220151901245
